股票名称,股票代码,盈亏比,市值(亿元)
爱慕股份,603511,2.129411764705881,61.41569302
金奥博,002917,1.46987951807229,51.1688098
中密控股,300470,1.316293929712458,78.00644755
良品铺子,603719,1.2516556291390735,51.5686
恒锋工具,300488,1.046747967479675,58.08729776
国电南自,600268,1.0391304347826078,93.56169865
恒立液压,601100,0.8941947565543062,977.99483156
中电港,001287,0.8417085427135672,152.05600941
海南高速,000886,0.8095238095238086,65.85596478
深粮控股,000019,0.7906976744186048,78.60290432
物产环能,603071,0.7686567164179113,73.98475901
安徽合力,600761,0.7562189054726391,162.99677526
海亮股份,002203,0.7435897435897443,234.33231562
内蒙华电,600863,0.6923076612709572,263.68626756
金桥信息,603918,0.6434108527131778,78.28929699
中马传动,603767,0.6230031948881786,61.44853165
豪能股份,603809,0.5598455598455596,128.8908445
宝胜股份,600973,0.5396825396825395,71.03677165
光环新网,300383,0.5274725274725278,255.79746213
法拉电子,600563,0.526278409090909,248.7375
莱美药业,300006,0.4861111111111105,57.75834291
中牧股份,600195,0.482315112324505,78.01572706
江苏雷利,300660,0.46580086580086616,202.86585183
诺力股份,603611,0.43195266272189387,58.62994003
焦点科技,002315,0.4305555555555562,170.86323904
厦门象屿,600057,0.4175824175824174,200.93606773
爱柯迪,600933,0.31451612903225845,173.77537456
至正股份,603991,0.25498007968127523,55.60310851
中南股份,000717,0.13513513513513523,72.95775226
