股票名称,股票代码,选择器,盈亏比,市值(亿元)
法拉电子,600563,TePu战法,58.63157894736913,244.935
吉林化纤,000420,填坑战法,8.00000000000002,98.35473372
海南瑞泽,002596,填坑战法,7.176470588235298,44.64088215
永泰能源,600157,TePu战法,4.0,309.81225086
川能动力,000155,TePu战法,3.9000000000000195,185.53991837
容大感光,300576,填坑战法,3.769230769230783,133.32115945
蓝晓科技,300487,填坑战法,3.503225806451603,256.57416442
永安期货,600927,填坑战法,3.4761904761904723,222.2633334
上海港湾,605598,填坑战法,3.4102564102564132,54.90928962
恒源煤电,600971,TePu战法,3.2105263157894837,82.08033407
中国西电,601179,TePu战法,3.0913978504530237,333.18235288
五矿发展,600058,填坑战法,2.833333333333326,85.00251938
金奥博,002917,填坑战法,2.7816901408450714,51.44690116
天威视讯,002238,TePu战法,2.777777777777782,70.54495016
中密控股,300470,填坑战法,2.636363636363624,78.98386771
海南发展,002163,填坑战法,2.592592592592591,84.91826563
国城矿业,000688,填坑战法,2.512820512820516,152.94145515
冀东水泥,000401,TePu战法,2.3611111111111165,128.3918443
浙江建投,002761,填坑战法,2.312500000000005,103.20223138
恒立液压,601100,TePu战法,2.280075187969927,980.94463775
青松建化,600425,TePu战法,2.2692307692307723,63.86720754
立讯精密,002475,少妇战法,2.229050279329598,2599.12245089
中国中车,601766,TePu战法,2.2173913043478333,2095.01707842
中集车辆,301039,TePu战法,2.1794871794871855,160.79987524
中信特钢,000708,少妇战法,2.1372549019607847,644.01729955
花园生物,300401,填坑战法,2.050632911392404,85.48747959
首开股份,600376,TePu战法,2.0500000000000034,67.58460934
中岩大地,003001,填坑战法,1.913366336633664,51.9335269
中国医药,600056,少妇战法,1.8200000000000003,162.00377671
中国能建,601868,TePu战法,1.7741935483870959,1058.95555635
玲珑轮胎,601966,少妇战法,1.7216981238569133,221.72065647
特变电工,600089,少妇战法,1.7099236641221391,670.00029491
通威股份,600438,少妇战法,1.6864864864864857,889.59245178
常宝股份,002478,少妇战法,1.6666666666666667,49.73443979
华北制药,600812,少妇战法,1.6511627861201394,115.81179998
兴业证券,601377,少妇战法,1.6428571428571412,557.02118046
华阳股份,600348,TePu战法,1.6260162979843131,246.753
柳    工,000528,少妇战法|填坑战法,1.6209677419354833,222.98360986
中粮糖业,600737,TePu战法,1.6206896551724208,209.39324152
永福股份,300712,填坑战法,1.5820105820105808,47.84299353
华菱线缆,001208,少妇战法,1.5808823529411773,63.7033408
金盾股份,300411,填坑战法,1.5603864734299517,56.01845696
鞍钢股份,000898,少妇战法,1.549999999999999,248.28436334
凯龙股份,002783,少妇战法,1.5303030303030332,50.18544352
东航物流,601156,少妇战法,1.4864864864864915,221.30524451
长信科技,300088,少妇战法,1.4705882352941182,150.86310817
安阳钢铁,600569,少妇战法,1.4347826086956526,66.35293402
美畅股份,300861,填坑战法,1.4339622641509446,96.47628718
西藏矿业,000762,填坑战法,1.4230769230769247,112.46937941
安泰科技,000969,填坑战法,1.4177215189873447,139.64043509
中科环保,301175,少妇战法,1.3999999999999893,79.48152
山西证券,002500,少妇战法,1.370370370370373,219.33504152
上海钢联,300226,填坑战法,1.3651162790697666,83.95122255
天通股份,600330,少妇战法,1.3472222222222208,96.08454101
长城证券,002939,少妇战法,1.3409090909090922,354.22268674
