序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,688222,成都先导,21.46,20.02,3.58,468514.0,967109013.0,16.22,21.46,18.56,18.56,17.88,7.57,11.69,76.0,6.14,8598592800.0,8598592800.0,0.0,0.0,56.41,75.04
2,301132,满坤科技,39.88,20.01,6.65,197755.0,739258572.68,20.31,39.88,33.13,33.24,33.23,5.64,42.98,52.38,3.4,5905679610.0,1834764225.0,0.0,0.0,74.38,47.27
3,688585,上纬新材,27.89,20.01,4.65,13810.0,38515476.0,0.0,27.89,27.89,27.89,23.24,3.11,0.34,124.72,8.85,11249758594.0,11249758594.0,0.0,0.0,285.22,320.66
4,300644,南京聚隆,33.59,20.01,5.6,249918.0,788735841.75,15.76,33.59,29.18,30.0,27.99,10.49,28.43,30.25,4.09,3693874195.0,2952755520.0,0.0,0.0,57.92,53.66
5,300878,维康药业,20.71,19.99,3.45,118555.0,234743094.41,19.24,20.71,17.39,18.0,17.26,13.52,8.23,-76.07,2.66,2998607569.0,2984807191.0,0.0,0.0,41.27,38.71
6,688183,生益电子,56.13,18.57,8.79,237196.0,1236303721.0,20.03,56.55,47.07,47.34,47.34,4.17,2.85,58.31,10.81,46690122553.0,46690122553.0,0.47,0.61,137.84,43.89
7,688505,复旦张江,10.55,15.68,1.43,427356.0,426003812.0,15.35,10.55,9.15,9.16,9.12,11.21,6.01,1025.83,4.78,10935835655.0,7496535655.0,1.15,1.25,41.04,37.55
8,300051,琏升科技,7.93,13.94,0.97,817177.0,667931397.76,18.97,8.35,7.03,7.05,6.96,19.62,22.35,-31.66,13.43,2949775152.0,2899742601.0,0.76,0.13,27.49,18.54
9,300964,本川智能,49.48,13.9,6.04,92017.0,445313201.0,20.74,51.96,42.95,42.95,43.44,6.05,17.02,92.46,3.82,3824719092.0,2674934421.0,0.04,-0.24,29.33,37.83
10,835174,五新隧装,49.32,12.19,5.36,86096.0,409634461.39,22.22,52.99,43.22,43.28,43.96,4.62,9.92,34.1,5.57,4439229972.0,4278597000.0,-0.16,0.08,52.69,70.72
11,837174,宏裕包材,19.39,12.08,2.09,63451.0,125178348.37,23.53,21.58,17.51,17.73,17.3,5.62,7.8,57.08,3.29,1577053346.0,1577053346.0,-0.05,-0.21,32.35,70.69
12,300460,惠伦晶体,11.66,11.47,1.2,299754.0,337244732.98,15.58,11.98,10.35,10.45,10.46,10.11,10.67,-55.19,5.28,3274177567.0,3274177567.0,1.3,1.3,6.39,-3.95
13,688507,索辰科技,77.0,11.27,7.8,21991.0,157109710.0,12.36,78.0,69.45,71.0,69.2,4.46,4.47,-109.74,2.43,6861376368.0,3791151210.0,8.62,8.21,-0.04,41.23
14,688062,迈威生物-U,34.5,10.9,3.39,172605.0,574240601.0,11.86,34.99,31.3,31.59,31.11,3.88,8.45,-11.81,10.79,13786200000.0,7043865000.0,0.06,-0.06,74.68,70.79
15,688648,中邮科技,49.13,10.68,4.74,103337.0,495042484.0,13.09,49.97,44.16,44.39,44.39,5.62,15.63,-75.2,4.35,6681680000.0,3248914036.0,0.33,0.51,113.7,110.95
16,688313,仕佳光子,51.81,10.21,4.8,303336.0,1518732246.0,14.25,53.58,46.88,47.01,47.01,2.05,6.61,63.77,18.79,23770548614.0,23770548614.0,-0.33,-0.71,233.4,217.27
17,002542,中化岩土,3.69,10.15,0.34,1220966.0,447584842.02,6.57,3.69,3.47,3.48,3.35,6.78,6.94,-32.3,8.68,6664570763.0,6489404788.0,0.0,0.0,17.14,-5.87
18,002329,皇氏集团,4.58,10.1,0.42,1073410.0,491264866.97,2.88,4.58,4.46,4.58,4.16,4.75,16.5,167.7,4.02,3812410251.0,2978781272.0,0.0,0.0,33.14,26.17
19,601003,柳钢股份,5.57,10.08,0.51,1367732.0,730235363.0,14.23,5.57,4.85,5.05,5.06,2.04,5.34,13.7,1.65,14274758124.0,14274758124.0,0.0,0.0,96.82,101.81
20,000796,凯撒旅业,4.59,10.07,0.42,800255.0,360084573.8,9.35,4.59,4.2,4.2,4.17,1.69,6.01,-405.22,8.53,7361391124.0,6108219658.0,0.0,0.0,13.61,13.33
21,600201,生物股份,9.53,10.05,0.87,1157190.0,1076036425.0,8.66,9.53,8.78,8.92,8.66,7.27,10.33,34.9,2.03,10677118724.0,10677118724.0,0.0,0.0,41.19,39.53
22,600751,海航科技,3.73,10.03,0.34,1522192.0,554614044.0,10.32,3.73,3.38,3.39,3.39,6.08,5.92,62.91,1.44,10814529931.0,9597995164.0,0.0,0.0,23.1,41.83
23,600826,兰生股份,13.17,10.03,1.2,408391.0,530915200.0,5.26,13.17,12.54,12.6,11.97,4.36,5.55,-98.49,2.44,9686976840.0,9686976840.0,0.0,0.0,66.08,57.16
24,002394,联发股份,11.74,10.03,1.07,571410.0,642502930.07,11.72,11.74,10.49,10.67,10.67,6.81,17.68,13.03,0.92,3800238000.0,3795373014.0,0.0,0.0,62.15,58.22
25,600230,沧州大化,12.52,10.02,1.14,341565.0,414463983.0,8.08,12.52,11.6,11.6,11.38,6.66,8.25,159.6,1.3,5182791908.0,5182791908.0,0.0,0.0,29.21,16.79
26,300344,ST立方,5.27,10.02,0.48,953567.0,509093846.08,15.24,5.66,4.93,5.02,4.79,9.94,14.91,-48.78,13.68,3381792812.0,3369761402.0,0.0,0.19,-36.58,18.43
27,000705,浙江震元,10.55,10.01,0.96,74995.0,79119503.45,0.0,10.55,10.55,10.55,9.59,2.34,2.66,24.56,1.78,3525000667.0,2974632909.0,0.0,0.0,38.82,34.39
28,002107,沃华医药,7.36,10.01,0.67,219473.0,159003695.57,9.87,7.36,6.7,6.76,6.69,0.96,3.85,46.46,5.9,4248262656.0,4192378544.0,0.0,0.0,64.65,53.97
29,002393,力生制药,26.27,10.01,2.39,328306.0,853543843.66,4.73,26.27,25.14,25.5,23.88,7.59,13.12,30.62,1.44,6769910324.0,6576027426.0,0.0,0.0,66.48,51.94
30,603716,塞力医疗,23.84,10.01,2.17,412860.0,967854859.0,6.92,23.84,22.34,22.34,21.67,2.3,21.61,-79.5,4.85,4553870908.0,4553870908.0,0.0,0.0,147.3,230.19
31,001389,广合科技,66.35,10.0,6.03,185848.0,1198117645.57,10.53,66.35,60.0,60.38,60.32,3.53,12.37,29.34,9.03,28214342250.0,9968595183.0,0.0,0.0,42.23,33.18
32,600620,天宸股份,7.04,10.0,0.64,155602.0,109404991.0,0.63,7.04,7.0,7.0,6.4,2.39,2.27,365.09,3.28,4834206876.0,4834206876.0,0.0,0.0,47.9,23.08
33,603106,恒银科技,11.55,10.0,1.05,378782.0,428089990.0,8.0,11.55,10.71,10.82,10.5,2.24,7.28,281.07,4.64,6012006000.0,6012006000.0,0.0,0.0,50.0,47.32
34,603083,剑桥科技,52.58,10.0,4.78,342490.0,1727798031.0,12.78,52.58,46.47,46.9,47.8,2.66,12.78,112.09,6.16,14093640000.0,14092483240.0,0.0,0.0,65.45,30.21
35,002294,信立泰,53.15,10.0,4.83,149270.0,774548470.35,7.55,53.15,49.5,49.6,48.32,4.81,1.34,73.94,7.09,59252498835.0,59239168868.0,0.0,0.04,49.51,74.66
36,603048,浙江黎明,21.45,10.0,1.95,161592.0,338721667.0,8.92,21.45,19.71,21.45,19.5,13.14,11.0,58.72,2.43,3150576000.0,3150576000.0,0.0,0.0,36.19,44.93
37,002384,东山精密,55.31,10.0,5.03,661627.0,3610132291.01,5.39,55.31,52.6,52.6,50.28,2.6,4.77,55.56,4.92,101306212595.0,76677454499.0,0.0,0.0,137.18,89.87
38,600843,上工申贝,12.1,10.0,1.1,631244.0,754120852.0,7.36,12.1,11.29,11.29,11.0,13.36,13.45,-86.1,2.92,8629314408.0,5677595033.0,0.0,0.0,11.73,-3.82
39,002940,昂利康,47.52,10.0,4.32,98070.0,459440432.61,5.83,47.52,45.0,45.0,43.2,2.74,5.29,150.67,6.29,9586123399.0,8804290192.0,0.0,0.0,278.34,263.86
40,605033,美邦股份,21.24,9.99,1.93,81829.0,172473790.0,10.31,21.24,19.25,19.32,19.31,6.64,6.05,23.97,2.52,2871648000.0,2871648000.0,0.0,0.0,26.58,78.04
41,002910,庄园牧场,10.57,9.99,0.96,79964.0,82984309.0,9.37,10.57,9.67,9.67,9.61,5.5,4.67,-19.91,1.94,2066850898.0,1808124812.0,0.0,0.0,12.21,40.37
42,002370,亚太药业,4.85,9.98,0.44,1670504.0,774557719.35,12.02,4.85,4.32,4.4,4.41,6.24,22.4,-115.87,3.77,3616487521.0,3616487521.0,0.0,0.0,53.48,59.02
43,601208,东材科技,14.21,9.98,1.29,555749.0,781318138.0,8.28,14.21,13.14,13.15,12.92,1.8,6.2,34.67,2.95,12743309493.0,12743309493.0,0.0,0.0,68.97,90.99
44,603115,海星股份,17.85,9.98,1.62,111175.0,197197293.0,3.14,17.85,17.34,17.67,16.23,10.82,4.65,47.04,2.23,4269720000.0,4269720000.0,0.0,0.0,43.26,45.0
45,605277,新亚电子,26.77,9.98,2.43,419905.0,1080547463.0,10.64,26.77,24.18,24.38,24.34,2.15,13.37,45.92,5.89,8681437677.0,8405308018.0,0.0,2.37,74.62,91.76
46,605188,国光连锁,11.68,9.98,1.06,134490.0,155484291.0,10.55,11.68,10.56,10.56,10.62,5.62,2.68,67.31,5.0,5855785520.0,5855785520.0,0.0,0.0,-15.24,53.08
47,603738,泰晶科技,15.55,9.97,1.41,368355.0,566231529.0,10.04,15.55,14.13,14.2,14.14,15.2,9.46,174.19,3.48,6053969105.0,6053969105.0,0.0,0.0,12.36,4.36
48,600774,汉商集团,9.93,9.97,0.9,86622.0,84314493.0,10.3,9.93,9.0,9.0,9.03,4.05,2.94,265.23,1.76,2929671752.0,2927782361.0,0.0,0.0,25.86,32.58
49,600829,人民同泰,8.4,9.95,0.76,154368.0,126803421.0,9.95,8.4,7.64,7.64,7.64,5.41,2.66,26.57,1.66,4871064215.0,4871064215.0,0.0,0.0,14.75,12.0
50,002178,延华智能,7.08,9.94,0.64,1194003.0,834367485.09,10.4,7.08,6.41,6.45,6.44,10.38,16.77,-248.78,11.9,5042043247.0,5039424759.0,0.0,0.0,19.59,18.0
51,301217,铜冠铜箔,20.19,9.73,1.79,487880.0,936464900.02,14.24,20.65,18.03,18.4,18.4,1.82,21.3,880.66,3.11,16737823833.0,4623823833.0,-1.46,0.75,108.36,82.22
52,688379,华光新材,41.8,9.71,3.7,25547.0,100632046.0,11.08,41.98,37.76,38.13,38.1,2.29,2.84,9.86,3.52,3765574736.0,3765574736.0,0.55,2.9,104.0,107.44
53,300404,博济医药,11.19,9.6,0.98,561033.0,626015121.53,17.92,11.99,10.16,10.25,10.21,8.97,20.07,275.79,4.35,4302933256.0,3128523554.0,-0.09,-0.09,25.59,28.33
54,002938,鹏鼎控股,45.77,9.58,4.0,441159.0,1948844105.16,10.75,45.94,41.45,41.45,41.77,2.06,1.91,54.34,3.49,106097195002.0,105581400835.0,0.13,0.35,67.9,29.0
55,000911,广农糖业,8.27,9.54,0.72,518001.0,426048075.32,5.83,8.31,7.87,8.13,7.55,25.6,12.94,123.67,25.27,3310644895.0,3310644895.0,1.1,1.22,16.48,14.86
56,300940,南极光,27.86,9.51,2.42,178746.0,495321345.7,12.58,28.7,25.5,25.7,25.44,3.93,12.12,52.16,5.59,6202872204.0,4107888827.0,0.43,0.25,80.91,106.37
57,301012,扬电科技,25.3,9.33,2.16,431529.0,1075017181.25,11.71,26.5,23.79,24.6,23.14,12.59,27.52,82.49,4.35,4983092099.0,3967777799.0,0.16,0.32,52.59,42.21
58,301205,联特科技,97.01,9.01,8.02,95167.0,893319947.64,13.6,98.6,86.5,86.91,88.99,3.76,14.0,168.24,8.34,12586465440.0,6592632743.0,0.06,-0.91,64.93,28.51
59,601869,长飞光纤,42.83,8.71,3.43,86199.0,351253022.0,11.42,43.02,38.52,38.52,39.4,3.41,2.12,53.5,2.76,32461075776.0,17403469989.0,0.68,3.08,40.47,43.29
60,688205,德科立,64.35,8.68,5.14,89074.0,551120942.0,11.62,65.06,58.18,58.78,59.21,3.54,9.97,175.15,4.54,10185660921.0,5748764328.0,-0.45,0.56,67.8,-7.77
61,920037,广信科技,78.33,8.66,6.24,57170.0,436928523.27,8.77,79.9,73.58,73.98,72.09,3.61,19.34,39.62,9.52,6929299584.0,2315772246.0,-0.2,0.2,683.3,683.3
62,603119,浙江荣泰,53.99,8.63,4.29,240667.0,1258914797.0,9.01,54.67,50.19,51.05,49.7,4.56,11.8,82.49,10.81,19638438679.0,11007453287.0,0.13,1.18,51.4,143.2
63,600676,交运股份,5.58,8.56,0.44,744825.0,408637752.0,10.7,5.65,5.1,5.15,5.14,6.39,7.24,-26.36,1.12,5738990628.0,5738990628.0,0.9,0.9,40.55,23.73
64,002550,千红制药,11.59,8.42,0.9,1190648.0,1328599261.81,9.17,11.68,10.7,10.78,10.69,2.52,12.43,23.04,5.87,14832882000.0,11100201732.0,-0.69,0.0,101.57,90.63
65,301326,捷邦科技,74.04,8.26,5.65,23765.0,170394996.0,9.34,74.19,67.8,68.39,68.39,3.97,8.84,-118.84,4.24,5345156985.0,1989852247.0,0.75,0.91,34.74,1.29
66,688189,南新制药,10.57,8.19,0.8,186808.0,196109118.0,10.03,10.86,9.88,9.88,9.77,2.26,6.81,-90.32,3.12,2900408000.0,2900408000.0,-0.09,-0.38,73.85,61.62
67,002896,中大力德,76.7,8.18,5.8,265738.0,1963394733.32,11.59,77.63,69.41,70.91,70.9,2.39,13.52,216.59,13.08,15073288789.0,15073288789.0,-0.1,0.39,17.98,161.33
68,002265,建设工业,30.05,8.17,2.27,603402.0,1792569588.79,10.58,30.56,27.62,27.69,27.78,4.38,14.97,225.53,8.49,31042864230.0,12113065601.0,-0.63,-0.1,51.92,29.14
69,000158,常山北明,23.83,8.07,1.78,1803088.0,4231576515.43,10.79,24.26,21.88,22.05,22.05,12.51,11.36,-95.46,7.22,38095036461.0,37837353997.0,0.38,0.46,10.89,18.32
70,300476,胜宏科技,167.11,7.79,12.08,329010.0,5388110217.85,8.66,168.45,155.03,155.38,155.03,1.86,3.85,39.15,14.91,144163898798.0,142913928029.0,-0.47,0.01,114.88,299.88
71,688010,福光股份,30.57,7.79,2.21,70552.0,212491318.0,8.82,30.95,28.45,28.45,28.36,6.14,4.39,-61.71,2.93,4908367439.0,4908367439.0,0.1,0.03,-27.09,7.49
72,301489,思泉新材,66.13,7.7,4.73,56918.0,367780757.87,9.87,67.12,61.06,61.36,61.4,3.59,11.96,75.33,5.15,5340253225.0,3147831117.0,-0.03,-0.2,62.04,36.18
73,688136,科兴制药,53.05,7.61,3.75,86372.0,453400825.0,8.22,53.85,49.8,49.8,49.3,2.4,4.29,104.36,6.4,10676697113.0,10676697113.0,-0.23,-0.69,55.12,143.57
74,300395,菲利华,65.33,7.61,4.62,153869.0,955262878.51,12.85,67.3,59.5,60.77,60.71,1.87,3.0,81.17,8.17,34119747077.0,33517098145.0,-0.14,-2.23,37.42,74.31
75,603617,君禾股份,8.65,7.59,0.61,748997.0,618760278.0,11.94,8.81,7.85,8.05,8.04,9.35,19.52,41.32,2.27,3377577065.0,3318497565.0,0.58,0.23,31.26,19.31
76,000989,九芝堂,12.27,7.54,0.86,547341.0,643440322.55,9.29,12.27,11.21,11.21,11.41,1.24,7.89,22.53,2.9,10502408487.0,8517261641.0,1.15,0.99,45.9,60.18
77,601086,国芳集团,11.93,7.48,0.83,590495.0,711761714.0,7.75,12.21,11.35,11.35,11.1,9.78,8.87,130.95,5.17,7945380000.0,7945380000.0,0.0,-0.08,3.47,106.04
78,600537,亿晶光电,3.75,7.45,0.26,2481108.0,943403674.0,5.44,3.84,3.65,3.65,3.49,2.71,20.96,-20.88,11.49,4438931318.0,4438931318.0,0.27,0.0,30.21,22.15
79,002838,道恩股份,20.79,7.22,1.4,84656.0,171073968.35,7.99,20.87,19.32,19.42,19.39,3.96,2.01,56.15,2.9,9945902778.0,8744933542.0,0.34,0.29,31.58,77.54
80,001359,平安电工,41.16,7.19,2.76,65062.0,257308667.35,8.83,41.4,38.01,38.02,38.4,2.64,14.03,36.45,4.18,7635310271.0,1909000800.0,2.34,2.67,38.59,61.1
81,300204,舒泰神,44.8,7.18,3.0,139074.0,607773476.82,8.61,45.0,41.4,41.5,41.8,1.84,2.95,-2291.63,22.45,21404210464.0,21144672685.0,0.31,0.0,393.39,504.59
82,600822,上海物贸,15.66,7.04,1.03,563796.0,878394426.0,7.25,15.99,14.93,14.93,14.63,3.65,14.23,288.0,6.41,7766935833.0,6203676239.0,-0.13,-0.51,69.66,53.23
83,300502,新易盛,181.53,6.91,11.73,442683.0,7770970601.76,9.95,183.9,167.01,167.01,169.8,2.21,5.0,28.68,18.73,180389064345.0,160681559056.0,-0.23,0.22,228.32,120.73
84,301196,唯科科技,84.5,6.91,5.46,69061.0,574497664.92,7.67,85.58,79.52,79.52,79.04,2.88,5.54,34.19,3.38,10584173997.0,10526779484.0,0.78,0.75,86.7,157.07
85,300066,三川智慧,6.36,6.89,0.41,1878475.0,1188411031.23,19.16,6.84,5.7,5.78,5.95,2.39,18.67,101.39,2.66,6614611546.0,6397589813.0,-0.78,-1.24,71.89,62.66
86,002229,鸿博股份,19.97,6.85,1.28,1384809.0,2734521146.72,6.31,20.38,19.2,19.4,18.69,5.24,28.08,29.29,7.41,9908944015.0,9848491091.0,0.05,0.0,87.34,66.56
87,301228,实朴检测,27.33,6.84,1.75,52933.0,142561666.0,8.09,27.5,25.43,25.45,25.58,5.15,4.42,-101.4,4.6,3279600000.0,3272876820.0,-0.04,-0.18,18.57,106.58
88,301377,鼎泰高科,42.86,6.83,2.74,99672.0,421687914.14,12.26,44.48,39.56,40.0,40.12,2.86,14.03,60.52,7.21,17572600000.0,3044088640.0,-0.19,-0.33,79.71,105.37
89,688109,品茗科技,35.12,6.81,2.24,40308.0,140105769.0,9.82,36.44,33.21,34.8,32.88,8.04,5.11,688.84,3.65,2768941576.0,2768941576.0,0.92,0.95,26.01,45.48
90,600318,新力金融,10.66,6.81,0.68,1279641.0,1371647935.0,10.52,10.98,9.93,9.98,9.98,4.01,24.96,78.4,5.06,5465676557.0,5465676557.0,0.0,-0.09,14.75,25.86
91,688573,信宇人,29.38,6.76,1.86,54414.0,155773907.0,9.19,29.89,27.36,27.74,27.52,2.81,10.47,-27.76,3.75,2872023919.0,1527592416.0,-0.41,0.69,74.78,88.45
92,603936,博敏电子,10.44,6.75,0.66,548844.0,553489865.0,7.77,10.46,9.7,9.77,9.78,1.76,8.71,60.21,1.53,6581355162.0,6581355162.0,0.38,0.87,46.22,23.99
93,688103,国力股份,59.44,6.58,3.67,25656.0,149420179.0,8.23,60.24,55.65,55.65,55.77,4.97,2.69,120.1,5.11,5665555460.0,5665555460.0,0.27,0.34,24.14,46.91
94,002629,仁智股份,6.49,6.57,0.4,338116.0,217980229.5,8.21,6.58,6.08,6.09,6.09,2.24,9.5,-240.24,51.37,2765376020.0,2310118310.0,-0.15,-0.31,23.85,52.71
95,688096,京源环保,11.31,6.5,0.69,57492.0,63953464.0,8.29,11.55,10.67,10.67,10.62,3.57,2.49,335.09,3.01,2616473134.0,2616473134.0,-0.26,0.35,-12.33,115.84
96,600481,双良节能,5.9,6.5,0.36,1535028.0,925613830.0,4.33,6.09,5.85,6.09,5.54,3.81,8.19,-17.14,2.5,11055234929.0,11055234929.0,0.0,-0.34,35.63,7.27
97,688176,亚虹医药-U,11.79,6.41,0.71,220026.0,254976299.0,7.13,11.95,11.16,11.27,11.08,1.97,5.06,-20.11,3.55,6720300000.0,5122937309.0,0.34,0.34,51.54,73.64
98,301338,凯格精机,44.91,6.4,2.7,40486.0,178351444.4,7.58,45.51,42.31,42.6,42.21,4.27,11.8,35.97,3.23,4778424000.0,1540413000.0,-0.2,-0.36,47.0,44.87
99,603308,应流股份,26.68,6.38,1.6,136192.0,360510894.0,9.49,27.28,24.9,25.25,25.08,3.81,2.01,49.21,3.87,18116692246.0,18116692246.0,0.11,-0.19,51.16,90.16
100,600563,法拉电子,116.83,6.35,6.98,28408.0,327006392.0,7.31,117.64,109.61,109.85,109.85,5.87,1.26,24.87,5.15,26286750000.0,26286750000.0,0.05,0.26,20.67,-0.08
101,301230,泓博医药,39.0,6.32,2.32,97078.0,370565053.67,7.77,39.2,36.35,36.76,36.68,2.28,12.63,113.66,5.44,5443877595.0,2997551895.0,0.57,0.28,52.4,54.82
102,605162,新中港,11.61,6.32,0.69,368638.0,413860504.0,11.17,11.82,10.6,10.79,10.92,1.83,9.2,75.23,3.8,4650186354.0,4650186354.0,1.22,3.02,59.92,75.64
103,688687,凯因科技,29.26,6.28,1.73,118134.0,337094838.0,7.34,29.3,27.28,27.28,27.53,5.09,6.91,48.72,2.74,5001833788.0,5001833788.0,0.93,1.04,14.25,37.44
104,300339,润和软件,53.57,6.27,3.16,651527.0,3454260403.36,9.24,55.06,50.4,50.64,50.41,7.21,8.38,341.86,12.22,42663728752.0,41660674751.0,0.13,-0.15,9.98,7.08
105,605128,上海沿浦,33.27,6.23,1.95,42112.0,137620401.0,7.38,33.66,31.35,31.39,31.32,4.23,1.99,53.46,3.54,7024584749.0,7024584749.0,0.12,-0.24,32.23,35.19
106,300706,阿石创,26.18,6.21,1.53,117700.0,301267535.32,11.81,26.93,24.02,24.48,24.65,2.58,10.36,-270.27,5.53,4011312664.0,2973386929.0,-0.53,-1.58,27.96,8.86
107,300283,温州宏丰,7.21,6.19,0.42,408738.0,292146147.36,11.34,7.55,6.78,6.94,6.79,2.66,13.29,-52.45,4.24,3152806126.0,2217238544.0,-0.55,-0.83,38.65,31.33
108,688658,悦康药业,25.96,6.18,1.51,91248.0,230736268.0,7.53,25.96,24.12,24.38,24.45,1.96,2.03,-59.27,3.31,11682000000.0,11682000000.0,0.54,0.54,58.87,80.15
109,301176,逸豪新材,35.15,6.16,2.04,116278.0,399786884.83,9.18,35.5,32.46,33.0,33.11,1.51,20.63,-964.65,3.87,5942693345.0,1980897793.0,0.17,0.72,125.9,112.52
110,839792,东和新材,14.07,6.03,0.8,79166.0,114232468.78,7.61,15.0,13.99,13.99,13.27,4.23,7.89,29.96,2.36,2329147800.0,1412048851.0,-0.07,-0.28,27.22,60.43
111,600415,小商品城,20.52,5.99,1.16,760909.0,1559019201.0,5.06,20.83,19.85,19.85,19.36,3.7,1.39,35.02,5.77,112524414402.0,112508297994.0,0.15,0.49,42.3,56.88
112,300382,斯莱克,16.93,5.94,0.95,244467.0,405509405.65,6.45,17.0,15.97,15.97,15.98,3.17,3.77,236.79,4.78,10977411898.0,10974095785.0,0.36,0.36,45.07,57.64
